the 0th hypergraph
505 628 739 752 
97 229 790 930 
192 501 611 853 
22 319 476 759 
147 180 532 842 
446 489 611 929 
381 460 714 749 
299 302 701 946 
67 89 570 814 
724 768 878 956 
539 588 674 788 
62 158 187 690 
294 315 361 891 
217 629 748 839 
329 331 410 994 
123 149 307 474 
443 467 865 877 
572 689 735 883 
212 605 732 937 
75 357 412 575 
2 385 530 600 
252 460 602 983 
12 475 540 680 
51 92 183 840 
223 485 662 991 
18 106 708 946 
42 101 471 807 
54 313 333 483 
25 68 692 972 
73 145 588 767 
500 597 640 851 
37 122 222 461 
93 435 624 705 
369 533 623 769 
35 242 296 584 
75 372 464 967 
33 193 356 520 
1 148 406 709 
81 423 632 648 
153 378 563 970 
27 39 62 879 
97 309 527 554 
45 761 892 895 
84 90 109 942 
152 332 335 711 
49 469 647 887 
198 206 342 649 
163 677 836 943 
53 60 449 480 
420 426 816 857 
145 675 830 954 
10 440 764 876 
78 461 530 747 
148 346 490 967 
77 420 462 581 
97 609 651 748 
453 557 563 868 
117 581 792 826 
203 337 540 649 
201 560 804 951 
370 444 606 695 
684 788 909 917 
117 496 513 652 
101 630 802 865 
24 27 391 804 
136 261 668 936 
132 326 391 877 
188 595 630 702 
364 469 768 808 
42 85 144 506 
100 218 528 921 
30 61 269 359 
212 437 526 963 
14 16 160 794 
161 311 462 743 
6 68 132 963 
27 369 425 891 
63 219 714 775 
272 443 476 882 
212 338 590 722 
297 380 596 731 
91 352 547 842 
174 492 547 759 
87 129 168 429 
601 852 901 946 
283 351 621 703 
242 433 821 985 
357 398 690 980 
154 215 447 904 
134 301 475 965 
128 173 468 837 
74 214 510 589 
67 386 618 819 
82 143 169 684 
610 748 775 989 
104 300 353 378 
100 631 738 769 
301 580 643 777 
53 227 447 740 
95 325 417 704 
14 228 449 769 
457 619 643 988 
358 411 552 790 
145 338 469 945 
421 695 706 766 
131 141 420 658 
87 302 723 736 
142 393 480 793 
472 690 988 993 
89 223 579 713 
228 262 315 681 
238 250 344 589 
327 602 723 769 
77 512 739 756 
118 208 292 700 
304 424 659 905 
543 685 823 860 
183 704 751 786 
163 271 371 435 
111 147 166 795 
13 450 563 713 
403 459 492 727 
11 83 345 939 
538 685 721 980 
126 433 754 991 
199 302 446 460 
95 342 591 930 
63 238 695 783 
125 502 546 864 
171 550 937 993 
488 601 615 904 
539 864 871 915 
37 597 601 813 
288 492 879 988 
45 91 227 863 
88 346 354 430 
43 123 445 562 
560 711 827 855 
352 376 616 860 
28 155 435 768 
91 166 629 645 
300 622 651 722 
53 503 787 885 
113 303 569 939 
89 139 423 694 
112 638 920 950 
166 212 243 492 
245 331 339 996 
51 99 611 795 
282 393 492 639 
234 563 701 813 
692 749 760 858 
241 346 508 547 
240 445 547 638 
107 363 801 965 
281 285 367 686 
169 221 360 919 
148 622 689 960 
11 48 214 898 
0 116 305 734 
410 504 580 837 
30 312 719 821 
73 152 708 880 
87 113 319 912 
262 414 421 424 
334 350 813 866 
190 199 513 540 
259 595 719 872 
15 78 182 503 
335 520 645 926 
535 562 751 933 
24 191 510 553 
63 113 420 807 
210 435 633 686 
66 227 369 875 
302 340 360 766 
170 547 606 797 
68 388 647 653 
350 505 587 652 
4 144 314 632 
191 304 697 902 
95 203 456 520 
84 573 674 989 
346 482 566 713 
151 664 702 719 
377 601 621 798 
0 153 196 978 
97 160 188 310 
255 288 574 988 
554 707 727 756 
55 141 303 910 
179 371 644 795 
29 623 712 728 
228 294 425 856 
56 674 872 914 
338 384 809 950 
131 520 785 788 
262 566 579 819 
708 742 931 978 
86 359 640 880 
232 672 707 709 
27 347 382 593 
209 252 344 937 
478 544 755 801 
218 340 436 724 
220 683 706 979 
58 225 267 399 
222 613 617 730 
177 593 736 957 
394 457 813 849 
340 540 558 785 
502 655 664 702 
224 428 479 650 
198 553 667 916 
267 357 483 932 
114 269 306 532 
268 539 633 807 
490 649 855 963 
205 340 679 732 
213 557 955 977 
277 346 526 817 
159 769 920 959 
340 342 726 753 
210 790 833 896 
280 403 454 819 
188 454 770 788 
21 623 624 751 
48 566 693 867 
321 543 593 894 
243 426 790 863 
492 630 633 676 
249 380 576 864 
43 138 672 685 
134 226 442 851 
271 417 804 946 
86 481 730 946 
227 376 887 975 
97 260 690 906 
169 342 826 913 
114 645 800 890 
740 855 887 917 
351 485 594 820 
83 325 607 782 
223 305 590 654 
163 356 579 737 
551 656 770 889 
0 38 664 750 
452 501 796 989 
55 157 202 269 
135 151 245 719 
273 430 489 988 
116 567 655 755 
382 406 670 797 
342 573 685 870 
67 234 478 728 
129 404 794 820 
114 209 562 759 
12 159 638 794 
30 57 393 833 
220 587 760 980 
319 431 487 995 
75 205 247 827 
122 271 599 743 
144 408 414 528 
367 494 616 623 
186 228 238 516 
77 402 791 822 
241 545 692 950 
102 381 619 983 
19 120 440 780 
138 634 652 791 
48 192 494 813 
90 415 576 797 
58 326 365 542 
150 253 619 789 
94 406 823 913 
27 228 395 701 
201 305 400 413 
123 433 444 656 
216 345 427 586 
70 606 651 730 
208 304 438 805 
590 832 875 988 
16 161 309 751 
218 223 440 655 
165 320 453 659 
204 449 684 943 
138 308 418 485 
129 363 498 851 
196 488 678 996 
92 234 872 883 
39 208 592 884 
55 306 564 804 
169 472 609 765 
146 162 703 859 
65 233 537 842 
146 196 829 976 
213 476 536 979 
136 175 306 933 
180 764 887 968 
307 560 679 714 
298 471 586 929 
227 351 857 978 
121 672 749 774 
554 643 752 837 
173 189 338 618 
291 478 701 748 
87 110 409 792 
340 591 703 980 
327 434 456 697 
154 158 706 781 
366 466 900 984 
95 108 283 964 
4 226 671 685 
129 404 762 872 
94 169 301 739 
397 541 659 724 
189 341 607 854 
155 257 386 564 
373 567 728 845 
24 263 509 706 
197 474 689 909 
231 332 683 966 
7 459 966 999 
100 357 430 928 
20 46 155 713 
451 617 638 892 
290 490 653 677 
130 164 294 898 
369 464 624 727 
336 858 919 942 
367 469 527 632 
465 878 904 983 
305 859 892 992 
264 301 326 727 
612 688 862 987 
637 819 924 977 
389 643 726 845 
11 454 803 930 
44 63 525 536 
418 648 919 976 
66 217 423 611 
349 462 586 803 
51 124 150 853 
580 585 722 965 
209 301 360 418 
67 75 121 592 
21 324 506 549 
50 444 715 878 
17 119 179 744 
13 396 840 876 
68 116 307 380 
124 287 584 992 
502 831 855 969 
308 512 822 915 
37 151 391 552 
554 563 572 744 
240 376 716 842 
123 146 391 613 
385 390 429 617 
443 450 656 977 
268 271 902 988 
95 570 588 595 
464 653 936 960 
221 781 942 995 
205 245 559 581 
338 347 450 495 
40 456 503 911 
259 328 367 499 
578 725 846 949 
10 57 554 601 
108 237 383 769 
134 757 796 838 
178 537 975 978 
20 390 717 985 
253 281 509 573 
68 309 945 962 
135 489 506 657 
226 347 618 811 
325 401 779 789 
111 338 643 880 
548 646 705 758 
0 165 488 720 
107 381 741 864 
156 432 716 835 
222 500 637 740 
128 369 650 865 
84 356 604 636 
47 653 878 881 
24 151 707 765 
154 460 559 656 
58 548 631 881 
45 221 290 390 
161 471 521 765 
85 394 744 980 
92 222 849 946 
73 198 592 797 
348 513 525 828 
140 167 240 723 
198 359 457 871 
53 358 823 990 
309 368 413 583 
145 437 553 652 
328 458 691 944 
96 257 465 982 
22 152 417 713 
376 505 564 902 
133 457 746 976 
74 847 873 907 
37 550 645 650 
99 769 771 843 
184 490 647 943 
87 500 686 916 
393 535 748 893 
271 445 616 953 
108 409 424 532 
216 446 723 854 
64 88 212 503 
414 583 596 948 
264 565 595 728 
63 445 537 652 
15 533 703 935 
29 616 776 910 
222 239 541 544 
100 217 517 611 
525 722 753 948 
452 624 966 971 
24 305 454 964 
205 465 609 932 
80 222 264 907 
565 855 907 961 
38 746 747 877 
173 310 354 716 
8 205 652 697 
379 394 504 958 
314 400 863 912 
310 351 426 551 
372 382 691 874 
144 335 739 857 
4 135 416 441 
17 165 330 541 
7 602 769 902 
399 406 513 946 
413 451 729 825 
27 109 669 780 
the 31th hypergraph
85 393 504 806 
21 221 382 811 
402 716 876 886 
38 246 425 769 
513 538 724 873 
457 753 813 875 
31 102 710 885 
245 355 461 766 
54 116 587 632 
166 348 482 967 
273 574 621 725 
167 551 564 959 
2 20 624 627 
221 500 511 960 
335 371 754 849 
354 466 693 978 
192 464 473 627 
164 308 331 978 
202 265 596 787 
403 482 854 905 
23 172 449 681 
207 310 377 602 
347 381 403 555 
157 337 536 554 
10 43 142 757 
655 834 864 987 
75 319 374 847 
393 463 517 953 
11 309 418 922 
16 291 296 801 
36 501 591 961 
160 217 363 413 
135 378 717 950 
87 290 696 810 
212 685 822 907 
110 326 588 933 
29 416 823 973 
108 234 388 581 
621 644 742 765 
51 437 478 631 
159 582 830 848 
350 595 608 958 
8 464 573 939 
211 718 771 772 
114 147 317 359 
110 166 187 688 
486 688 722 998 
237 436 579 911 
143 265 754 915 
117 381 493 840 
163 199 465 836 
257 351 474 997 
732 854 869 904 
285 352 401 533 
374 558 762 861 
69 130 861 960 
101 159 385 506 
366 367 417 918 
25 59 138 630 
166 627 656 892 
12 180 643 982 
40 273 723 825 
148 167 351 637 
44 329 598 646 
323 342 409 979 
80 108 612 953 
108 531 576 967 
42 568 608 880 
3 187 414 995 
492 574 627 676 
86 198 592 898 
182 207 451 467 
502 647 850 909 
48 285 322 778 
304 310 410 590 
122 357 550 586 
209 482 850 964 
614 945 954 971 
109 284 421 980 
328 511 607 648 
8 483 600 785 
366 739 933 942 
270 460 631 938 
104 117 289 507 
58 255 288 349 
224 281 564 653 
30 413 616 851 
62 881 920 924 
97 110 580 985 
587 727 856 968 
412 437 561 854 
262 428 470 794 
177 323 799 915 
141 565 573 600 
277 489 694 839 
50 98 440 854 
272 292 481 619 
241 384 554 868 
294 650 719 907 
45 100 124 347 
121 136 302 794 
282 353 372 802 
14 551 716 930 
272 288 411 457 
414 535 720 954 
26 288 644 819 
518 625 717 813 
364 409 761 979 
316 486 566 992 
12 347 542 901 
33 166 614 651 
520 572 740 818 
92 94 98 488 
159 192 391 543 
102 369 530 576 
46 398 461 989 
69 421 623 742 
112 347 682 794 
40 251 504 814 
209 255 260 843 
135 543 959 971 
14 580 922 931 
492 495 580 753 
259 519 749 932 
115 134 421 573 
31 337 616 945 
367 507 823 852 
195 249 306 459 
39 192 642 846 
365 574 666 675 
140 248 589 798 
65 481 671 944 
88 387 556 636 
233 557 627 814 
197 430 435 439 
503 718 888 936 
192 239 673 780 
362 711 750 761 
198 397 417 586 
129 376 757 824 
39 186 319 750 
73 198 210 758 
178 265 764 922 
249 583 711 814 
292 887 888 980 
436 791 848 951 
482 514 558 585 
146 233 366 919 
243 273 299 340 
6 34 447 929 
436 478 703 953 
271 632 713 727 
125 291 403 587 
123 430 544 965 
15 60 61 141 
294 555 659 841 
312 508 635 825 
32 141 567 982 
93 393 439 830 
245 823 878 987 
41 266 750 944 
14 505 591 631 
359 663 776 873 
425 694 743 977 
200 574 900 924 
176 224 658 944 
302 455 884 918 
56 249 332 792 
413 678 974 989 
461 509 627 804 
340 530 658 868 
705 717 746 822 
145 190 216 939 
235 242 467 669 
66 170 395 452 
247 549 656 874 
31 596 652 775 
149 268 622 857 
314 329 526 839 
180 331 733 882 
82 329 578 881 
105 173 967 976 
860 869 951 995 
78 305 735 804 
30 386 414 708 
418 619 843 997 
714 824 841 858 
672 704 805 867 
18 54 94 744 
61 242 775 930 
20 261 376 709 
364 565 682 759 
1 307 325 360 
205 337 605 637 
5 626 812 849 
96 597 656 806 
102 589 771 909 
176 648 744 934 
29 370 543 717 
225 641 881 962 
73 228 250 355 
603 612 935 943 
130 334 417 680 
255 523 548 563 
166 272 652 768 
375 703 927 981 
527 616 721 823 
27 349 377 510 
155 444 455 522 
159 310 316 707 
44 492 643 829 
132 285 802 905 
134 148 355 598 
46 169 787 961 
31 49 308 519 
5 530 651 795 
20 181 582 782 
237 330 479 546 
346 406 753 779 
345 925 928 991 
10 393 514 790 
157 528 763 873 
357 369 452 637 
45 145 533 569 
6 461 500 865 
15 331 802 879 
316 780 818 849 
145 446 552 726 
428 720 843 986 
237 794 864 914 
251 256 548 980 
1 195 800 952 
153 195 758 832 
204 232 580 760 
57 601 966 998 
148 152 333 485 
606 701 852 913 
127 253 926 990 
680 815 892 955 
79 255 260 678 
34 712 790 918 
2 220 366 892 
397 623 677 709 
329 431 526 894 
496 704 789 882 
258 288 482 880 
158 483 540 674 
210 542 790 963 
44 242 286 584 
127 618 809 966 
146 283 449 676 
127 140 438 624 
327 690 779 803 
103 145 230 875 
34 222 379 600 
143 245 454 525 
7 20 73 731 
49 614 623 779 
155 204 817 969 
256 407 656 976 
184 254 323 806 
136 282 369 823 
114 224 426 847 
203 381 650 701 
425 753 853 957 
37 578 622 738 
135 688 849 965 
225 691 947 974 
173 389 495 876 
373 581 821 956 
420 462 554 764 
128 540 783 820 
75 160 265 767 
352 400 695 845 
3 33 571 730 
357 592 670 842 
51 591 594 927 
330 555 601 936 
187 455 498 976 
23 137 214 847 
288 311 427 684 
250 385 561 567 
444 574 580 873 
268 416 746 835 
333 377 478 630 
3 392 603 972 
177 243 295 942 
63 168 507 689 
71 463 475 801 
12 15 170 416 
144 537 633 716 
3 352 420 718 
97 699 734 747 
3 264 314 788 
115 215 377 472 
157 251 957 977 
61 85 126 344 
359 717 830 882 
559 689 847 876 
119 273 373 575 
141 283 420 708 
695 904 912 966 
15 446 448 568 
221 548 642 949 
373 388 412 628 
41 310 510 598 
277 529 532 541 
676 776 792 978 
313 345 854 901 
100 106 429 448 
445 476 504 544 
22 549 793 856 
108 208 366 724 
109 415 591 704 
708 766 884 935 
253 510 578 638 
41 483 586 632 
266 503 608 737 
299 554 811 942 
100 239 495 705 
159 346 686 699 
115 186 307 392 
262 501 557 648 
270 483 772 829 
5 30 669 869 
237 315 480 514 
64 649 683 885 
393 499 762 807 
183 663 674 912 
19 190 581 598 
384 392 466 996 
110 325 345 450 
377 454 724 845 
27 342 426 509 
361 433 798 986 
332 489 634 814 
64 123 277 966 
37 415 798 886 
3 124 625 745 
252 424 589 676 
96 568 788 931 
347 456 634 803 
187 525 864 982 
329 808 918 952 
23 481 619 795 
307 625 869 936 
130 372 531 752 
245 532 695 834 
252 407 785 854 
261 499 892 967 
218 351 633 807 
14 79 89 370 
112 211 295 512 
120 268 566 962 
44 80 366 749 
15 88 475 809 
235 323 409 630 
28 241 484 936 
24 148 289 873 
276 325 440 824 
5 340 530 638 
171 566 580 945 
29 170 576 592 
114 432 594 959 
51 471 472 854 
167 208 244 749 
318 490 518 671 
295 626 650 778 
95 155 179 962 
225 232 481 772 
35 235 937 940 
22 514 614 877 
86 379 429 839 
151 308 863 868 
168 478 547 954 
226 297 445 871 
9 486 578 719 
154 198 362 905 
180 263 676 821 
596 617 675 760 
261 422 773 957 
308 426 519 944 
332 570 916 945 
12 175 205 387 
244 281 730 981 
57 531 733 802 
402 415 567 608 
318 433 531 619 
422 454 506 867 
260 266 593 797 
268 569 683 992 
20 327 494 889 
71 781 806 847 
71 370 484 566 
211 311 951 973 
331 676 889 933 
522 583 671 700 
33 488 583 810 
54 274 875 911 
111 221 253 942 
284 422 905 994 
162 165 638 898 
113 403 414 717 
442 470 724 780 
302 412 748 905 
82 220 307 740 
302 346 398 425 
143 202 385 806 
178 744 971 995 
4 6 42 292 
92 418 445 660 
223 486 954 989 
228 654 764 831 
26 429 836 939 
62 293 570 734 
255 581 752 906 
86 240 462 807 
280 322 524 989 
307 333 394 856 
195 522 538 940 
5 162 399 753 
27 67 602 898 
371 395 664 764 
126 195 483 634 
326 563 638 769 
60 259 458 882 
329 394 831 994 
122 405 507 657 
88 603 727 940 
16 221 468 877 
263 362 390 867 
46 199 641 850 
296 353 512 694 
20 509 803 985 
451 633 811 937 
119 192 500 965 
131 575 715 961 
389 826 944 981 
517 525 582 764 
327 631 666 829 
300 420 631 990 
172 674 854 887 
99 278 435 939 
532 636 897 920 
285 533 943 998 
362 495 927 955 
184 219 662 941 
266 503 568 588 
98 305 449 765 
127 205 949 986 
2 384 589 793 
144 171 178 248 
236 420 471 512 
144 311 442 549 
417 505 927 939 
335 346 457 523 
90 306 491 890 
587 706 909 989 
15 433 554 593 
90 430 708 806 
203 280 656 854 
72 117 306 690 
19 329 680 923 
88 149 633 650 
16 368 528 606 
501 711 723 896 
196 225 608 759 
50 396 739 775 
246 354 389 759 
97 625 757 759 
26 162 448 496 
503 786 903 980 
409 416 440 561 
185 210 320 565 
313 488 729 845 
15 53 870 927 
225 341 429 588 
160 190 497 649 
316 639 719 945 
112 593 649 965 
2 423 741 989 
35 579 604 920 
27 467 514 613 
127 395 559 761 
69 139 284 803 
206 595 661 684 
233 653 704 968 
162 554 767 876 
144 302 939 987 
196 274 749 920 
483 494 578 725 
4 255 440 696 
344 570 610 921 
24 28 460 868 
103 520 566 721 
186 446 643 993 
169 218 637 646 
117 282 378 800 
473 724 959 982 
173 329 768 911 
121 270 665 760 
47 164 393 897 
310 747 777 978 
241 326 743 824 
118 161 199 934 
381 387 698 865 
593 667 885 967 
326 697 816 854 
399 462 588 806 
306 494 611 732 
35 334 388 771 
63 511 580 812 
126 153 657 768 
664 674 859 873 
27 40 88 498 
267 283 776 911 
269 321 546 803 
165 213 568 667 
428 466 743 855 
159 421 617 927 
197 204 292 874 
242 494 619 769 
518 532 571 682 
138 196 302 543 
220 858 892 958 
312 580 782 791 
146 351 768 982 
2 113 312 540 
72 316 345 575 
212 275 747 819 
140 254 584 921 
70 162 195 362 
607 698 876 966 
135 735 786 918 
246 410 452 919 
104 230 728 765 
78 235 373 630 
334 547 622 852 
392 665 890 940 
301 492 522 555 
355 534 568 638 
47 191 578 673 
436 847 879 942 
375 389 505 722 
164 395 756 886 
221 286 685 928 
63 194 432 588 
133 237 933 998 
114 224 373 963 
119 143 340 781 
130 397 820 979 
3 200 784 875 
135 288 369 466 
36 164 681 918 
114 647 814 993 
183 460 585 970 
598 764 852 873 
38 225 654 865 
185 282 302 370 
190 737 767 921 
76 328 522 964 
572 603 796 961 
62 567 826 923 
30 103 937 960 
115 524 637 793 
724 850 912 991 
181 324 629 752 
42 227 591 847 
82 726 729 870 
265 371 502 506 
334 434 581 670 
231 608 690 749 
140 175 835 988 
440 454 728 877 
145 152 510 749 
854 892 952 979 
239 268 279 410 
458 523 800 924 
81 549 623 908 
478 769 830 918 
128 269 562 708 
56 467 778 903 
110 371 381 776 
36 179 788 879 
161 286 605 639 
187 574 610 970 
120 537 603 682 
182 703 869 983 
325 469 667 844 
30 365 404 852 
268 557 694 932 
166 352 358 362 
68 157 569 726 
26 134 176 990 
174 194 457 843 
93 357 443 584 
70 546 801 804 
168 265 315 471 
266 305 649 910 
439 570 650 779 
29 46 624 738 
304 654 675 844 
73 527 643 943 
349 361 699 980 
329 612 635 808 
170 515 531 620 
246 605 695 784 
304 579 756 807 
418 619 679 827 
0 146 717 838 
256 636 647 675 
309 616 647 994 
382 415 429 897 
103 275 323 914 
2 254 897 963 
17 275 578 804 
182 189 539 679 
163 523 544 789 
696 790 873 954 
486 488 659 764 
302 675 727 985 
410 529 598 832 
61 87 513 555 
303 311 628 861 
14 168 405 831 
253 377 883 968 
367 375 473 583 
54 387 628 821 
114 461 504 824 
484 632 822 984 
16 175 692 749 
615 681 687 826 
275 550 717 789 
258 281 803 929 
82 107 303 575 
14 56 388 527 
4 213 340 978 
110 791 810 856 
112 193 837 856 
49 52 103 576 
130 284 541 902 
222 510 823 905 
139 222 243 518 
544 567 629 723 
189 550 826 904 
337 350 442 668 
200 208 457 690 
162 209 252 650 
190 455 801 920 
105 801 873 914 
418 516 520 882 
309 432 787 813 
199 205 685 957 
122 143 387 757 
34 328 586 723 
7 187 283 353 
22 450 499 576 
74 104 263 770 
46 718 720 997 
78 453 614 712 
136 315 328 672 
103 431 633 868 
37 301 561 806 
97 111 278 855 
379 441 697 878 
547 652 719 791 
164 454 690 905 
341 906 910 939 
277 703 824 911 
154 638 692 711 
58 460 469 711 
289 489 512 647 
170 353 519 687 
494 598 687 875 
100 290 369 856 
94 381 407 866 
13 572 752 820 
96 179 379 625 
49 276 630 759 
448 707 923 950 
28 632 879 986 
211 421 542 961 
180 220 895 989 
421 647 675 885 
425 702 826 876 
250 342 550 709 
400 559 927 975 
330 497 504 546 
482 635 824 925 
542 598 793 927 
550 697 881 959 
184 367 380 638 
201 203 325 569 
110 345 711 865 
252 678 995 998 
200 294 297 552 
353 699 886 960 
100 112 466 563 
244 610 765 877 
422 588 687 962 
304 330 390 610 
42 443 465 940 
89 335 959 978 
134 391 514 686 
52 522 711 987 
183 373 375 938 
130 356 606 920 
538 613 706 814 
3 169 435 951 
124 516 727 796 
401 409 835 954 
11 15 804 975 
8 117 446 777 
405 586 880 926 
220 480 550 635 
654 694 760 783 
303 656 777 880 
358 373 595 736 
17 158 617 666 
259 468 757 860 
560 568 807 830 
10 14 346 968 
22 252 440 820 
400 765 800 880 
235 379 520 562 
280 366 504 719 
184 571 685 726 
353 424 618 662 
416 517 752 866 
313 502 610 680 
346 490 616 649 
513 637 657 919 
15 472 549 743 
217 388 605 786 
259 432 596 665 
170 233 575 935 
141 615 643 951 
35 251 332 636 
190 610 901 906 
17 300 496 735 
123 178 530 681 
151 203 567 596 
57 567 691 852 
246 257 677 733 
99 179 592 708 
59 267 878 911 
46 78 87 487 
380 425 812 872 
17 281 329 907 
177 724 743 901 
68 402 590 846 
42 328 746 875 
195 380 522 843 
528 784 832 925 
20 75 189 566 
251 253 430 947 
624 659 801 807 
206 273 773 823 
233 688 840 940 
206 368 588 726 
191 249 365 944 
74 462 551 628 
291 363 535 701 
279 361 681 776 
25 30 202 744 
32 451 730 925 
360 399 822 836 
383 465 691 736 
71 691 823 923 
25 140 335 496 
232 645 837 849 
112 227 744 981 
207 546 720 749 
149 171 723 975 
440 572 626 844 
429 552 736 851 
234 658 662 677 
568 571 815 947 
49 258 456 954 
381 531 669 913 
437 576 863 909 
97 849 874 893 
36 84 356 490 
436 564 773 979 
22 648 771 879 
156 364 446 918 
21 593 764 794 
237 631 871 982 
64 279 445 635 
323 622 642 936 
351 573 610 796 
116 661 899 989 
175 504 772 907 
75 308 641 724 
34 455 672 855 
8 148 152 987 
26 129 220 266 
102 289 321 446 
59 334 537 613 
37 87 672 953 
278 283 332 983 
28 278 325 862 
243 571 795 977 
349 448 488 666 
89 293 733 749 
111 255 731 771 
5 342 645 881 
258 399 637 834 
10 173 301 736 
106 173 433 721 
246 818 839 873 
79 734 787 951 
110 134 195 300 
131 370 474 756 
94 148 415 484 
144 196 793 841 
20 275 896 967 
208 219 419 666 
447 657 797 913 
18 190 698 983 
172 666 809 819 
228 492 764 856 
16 155 750 913 
51 118 335 961 
591 672 687 875 
287 459 812 952 
32 209 688 947 
3 429 484 892 
181 303 747 903 
24 360 662 943 
80 181 707 820 
383 529 782 831 
33 229 241 321 
324 487 570 784 
320 378 612 971 
222 264 492 646 
714 775 906 969 
100 493 544 993 
151 349 394 544 
545 809 907 991 
311 573 602 968 
17 196 435 752 
22 27 140 445 
46 192 582 654 
88 309 412 920 
17 495 529 778 
4 204 402 544 
43 652 721 793 
357 390 827 969 
11 277 295 644 
98 181 499 725 
365 738 885 989 
447 641 785 834 
227 257 367 447 
181 559 711 800 
117 365 918 984 
6 120 144 182 
244 387 696 928 
361 601 648 967 
128 170 253 746 
372 471 744 900 
139 256 303 314 
188 354 690 710 
14 545 741 965 
433 451 710 983 
126 322 452 548 
11 292 302 737 
171 183 719 893 
6 469 698 860 
528 767 831 933 
221 555 591 734 
45 50 274 280 
291 602 698 857 
639 665 923 935 
23 384 664 970 
441 488 799 853 
420 663 918 926 
338 524 641 740 
432 549 732 881 
309 316 895 908 
401 636 695 755 
5 464 482 839 
78 291 637 978 
167 285 478 595 
173 593 638 798 
250 658 917 998 
299 355 634 819 
221 579 779 944 
258 551 704 870 
159 376 472 524 
16 77 507 694 
38 366 475 961 
99 300 379 828 
43 204 647 731 
324 464 520 814 
121 557 866 911 
413 697 718 759 
501 673 778 821 
80 343 477 707 
135 222 812 824 
38 171 607 714 
0 48 301 964 
205 324 806 924 
18 156 253 595 
298 341 683 757 
59 309 515 864 
244 489 866 885 
431 446 456 976 
347 464 737 836 
13 462 953 983 
489 505 703 903 
136 892 929 932 
95 319 818 930 
3 31 343 667 
21 42 259 542 
20 538 549 610 
417 708 720 947 
49 161 539 635 
77 354 473 672 
29 92 552 553 
19 70 88 266 
520 560 842 856 
103 402 691 840 
291 551 838 855 
216 458 515 580 
49 458 782 918 
170 445 621 978 
200 395 406 620 
452 565 719 863 
169 569 634 933 
214 389 507 950 
115 277 474 915 
144 235 384 696 
4 38 118 579 
233 408 640 697 
0 111 446 639 
47 400 827 903 
463 712 954 997 
672 722 731 808 
247 381 921 964 
324 377 835 926 
277 378 506 768 
237 335 372 833 
187 461 560 851 
199 368 541 775 
233 324 346 699 
150 326 417 494 
265 300 540 984 
535 624 789 834 
254 412 466 809 
223 502 512 709 
85 564 572 693 
82 344 739 967 
63 81 687 741 
357 489 815 959 
293 377 710 842 
170 200 448 913 
63 209 327 619 
100 672 796 948 
26 343 580 627 
102 237 589 972 
758 798 845 930 
112 229 241 777 
132 293 659 990 
1 34 154 536 
96 264 710 903 
322 555 697 902 
69 418 513 696 
454 481 503 800 
484 517 660 957 
767 816 818 948 
268 560 676 724 
328 417 863 897 
215 566 622 714 
420 642 880 998 
220 342 455 651 
95 115 192 959 
46 668 684 723 
381 450 755 940 
110 521 674 677 
40 77 611 947 
40 281 443 681 
44 534 589 844 
641 736 766 980 
270 390 768 914 
3 116 161 572 
186 379 475 541 
79 132 191 257 
232 265 500 597 
389 466 686 944 
375 413 582 726 
221 324 555 684 
202 315 548 746 
182 222 461 997 
441 774 784 849 
274 357 557 813 
220 278 302 402 
19 174 587 606 
159 346 362 608 
61 66 459 928 
113 162 339 852 
42 85 134 944 
4 67 769 885 
231 481 833 849 
281 348 637 735 
66 236 433 695 
29 215 248 892 
46 212 617 694 
176 224 352 364 
343 510 648 972 
2 434 499 905 
365 556 749 819 
1 38 223 282 
461 769 840 915 
259 289 759 830 
385 463 632 739 
505 516 640 941 
640 648 688 922 
423 663 879 897 
334 381 389 486 
336 503 626 782 
153 348 394 418 
41 94 376 982 
99 114 698 826 
33 263 857 885 
72 120 519 906 
111 642 710 972 
79 510 646 818 
156 428 569 893 
149 202 336 949 
66 209 251 472 
203 478 742 768 
226 425 602 678 
11 259 447 850 
14 94 128 893 
179 550 604 886 
15 234 375 848 
170 585 747 974 
113 149 336 788 
144 741 993 994 
107 261 831 956 
55 174 700 987 
61 447 801 985 
155 190 747 888 
23 263 394 613 
189 695 898 927 
132 205 274 954 
66 294 553 795 
438 475 609 688 
376 685 921 932 
160 505 605 746 
155 160 641 857 
304 529 615 953 
13 156 677 825 
3 480 628 950 
175 201 522 710 
242 342 511 717 
133 290 352 524 
266 424 510 871 
323 340 744 957 
107 206 286 598 
7 21 263 570 
105 141 378 537 
146 603 893 900 
50 322 647 688 
269 348 755 816 
181 561 574 744 
158 225 274 905 
42 167 221 618 
38 569 969 996 
352 370 546 796 
476 513 635 850 
52 478 605 817 
305 347 355 814 
328 791 799 871 
2 76 533 593 
267 271 562 781 
12 67 645 917 
97 100 346 911 
96 392 550 982 
0 406 766 776 
22 134 418 858 
379 590 644 757 
24 464 786 882 
227 245 493 746 
296 622 623 987 
30 246 658 839 
239 324 579 718 
17 662 817 934 
325 404 889 921 
201 553 801 995 
329 515 590 761 
320 393 515 738 
312 376 806 826 
440 599 612 941 
4 15 213 980 
571 672 823 903 
118 125 644 755 
124 189 870 906 
286 363 812 978 
192 405 586 874 
374 408 835 984 
255 335 704 902 
284 323 414 899 
429 657 798 869 
117 137 287 344 
15 210 641 953 
22 349 782 903 
